qrCode,buildingId,unitNumber,type,brandModel,status,المبنى,تاريخ أول تسجيل,تاريخ آخر زيارة,عدد الزيارات المسجلة,,,,,,,
BS-601-B-WM-01,a967194c-ba82-46d4-b602-46b4ec973b42,BS-601-B,غسالة,,,الحي التجاري,,,,,,,,,,
BS-601-B-RF-01,a967194c-ba82-46d4-b602-46b4ec973b42,BS-601-B,ثلاجة,,,الحي التجاري,,,,,,,,,,
BS-604-B-AC-01,a967194c-ba82-46d4-b602-46b4ec973b42,BS-604-B,مكيف سبليت,,,الحي التجاري,,,,,,,,,,
BS-604-B-AC-02,a967194c-ba82-46d4-b602-46b4ec973b42,BS-604-B,مكيف سبليت,,,الحي التجاري,,,,,,,,,,
BS-604-B-WM-01,a967194c-ba82-46d4-b602-46b4ec973b42,BS-604-B,غسالة,,,الحي التجاري,,,,,,,,,,
BS-604-B-RF-01,a967194c-ba82-46d4-b602-46b4ec973b42,BS-604-B,ثلاجة,,,الحي التجاري,,,,,,,,,,
BS-701-B-AC-01,a967194c-ba82-46d4-b602-46b4ec973b42,BS-701-B,مكيف سبليت,,,الحي التجاري,,,,,,,,,,
BS-701-B-AC-02,a967194c-ba82-46d4-b602-46b4ec973b42,BS-701-B,مكيف سبليت,,,الحي التجاري,,,,,,,,,,
BS-701-B-WM-01,a967194c-ba82-46d4-b602-46b4ec973b42,BS-701-B,غسالة,,,الحي التجاري,,,,,,,,,,
BS-701-B-RF-01,a967194c-ba82-46d4-b602-46b4ec973b42,BS-701-B,ثلاجة,,,الحي التجاري,,,,,,,,,,
BS-704-B-AC-01,a967194c-ba82-46d4-b602-46b4ec973b42,BS-704-B,مكيف سبليت,,,الحي التجاري,,,,,,,,,,
BS-704-B-AC-02,a967194c-ba82-46d4-b602-46b4ec973b42,BS-704-B,مكيف سبليت,,,الحي التجاري,,,,,,,,,,
BS-704-B-WM-01,a967194c-ba82-46d4-b602-46b4ec973b42,BS-704-B,غسالة,,,الحي التجاري,,,,,,,,,,
BS-704-B-RF-01,a967194c-ba82-46d4-b602-46b4ec973b42,BS-704-B,ثلاجة,,,الحي التجاري,,,,,,,,,,
BS-801-B-AC-01,a967194c-ba82-46d4-b602-46b4ec973b42,BS-801-B,مكيف سبليت,,,الحي التجاري,,,,,,,,,,
BS-801-B-AC-02,a967194c-ba82-46d4-b602-46b4ec973b42,BS-801-B,مكيف سبليت,,,الحي التجاري,,,,,,,,,,
BS-801-B-WM-01,a967194c-ba82-46d4-b602-46b4ec973b42,BS-801-B,غسالة,,,الحي التجاري,,,,,,,,,,
BS-801-B-RF-01,a967194c-ba82-46d4-b602-46b4ec973b42,BS-801-B,ثلاجة,,,الحي التجاري,,,,,,,,,,
BS-804-B-AC-01,a967194c-ba82-46d4-b602-46b4ec973b42,BS-804-B,مكيف سبليت,,,الحي التجاري,,,,,,,,,,
BS-804-B-AC-02,a967194c-ba82-46d4-b602-46b4ec973b42,BS-804-B,مكيف سبليت,,,الحي التجاري,,,,,,,,,,
BS-804-B-WM-01,a967194c-ba82-46d4-b602-46b4ec973b42,BS-804-B,غسالة,,,الحي التجاري,,,,,,,,,,
BS-804-B-RF-01,a967194c-ba82-46d4-b602-46b4ec973b42,BS-804-B,ثلاجة,,,الحي التجاري,,,,,,,,,,
BS-102-AC-01,a967194c-ba82-46d4-b602-46b4ec973b42,BS-102,مكيف سبليت,,,الحي التجاري,,,,,,,,,,
BS-102-AC-02,a967194c-ba82-46d4-b602-46b4ec973b42,BS-102,مكيف سبليت,,,الحي التجاري,,,,,,,,,,
BS-102-AC-03,a967194c-ba82-46d4-b602-46b4ec973b42,BS-102,مكيف سبليت,,,الحي التجاري,,,,,,,,,,
BS-102-WM-01,a967194c-ba82-46d4-b602-46b4ec973b42,BS-102,غسالة,,,الحي التجاري,,,,,,,,,,
BS-102-RF-01,a967194c-ba82-46d4-b602-46b4ec973b42,BS-102,ثلاجة,,,الحي التجاري,,,,,,,,,,
BS-103-AC-01,a967194c-ba82-46d4-b602-46b4ec973b42,BS-103,مكيف سبليت,,,الحي التجاري,,,,,,,,,,
BS-103-AC-02,a967194c-ba82-46d4-b602-46b4ec973b42,BS-103,مكيف سبليت,,,الحي التجاري,,,,,,,,,,
BS-103-AC-03,a967194c-ba82-46d4-b602-46b4ec973b42,BS-103,مكيف سبليت,,,الحي التجاري,,,,,,,,,,
