building_id,netsuite_id,unit_name,Location,unit_type
1c6d9e57-89fc-4121-af9e-03dafd483b60,6949,SAD-601,الادارة العامة نسائم صلالة : بنايات السعادة : السعادة-25,TWO_BEDROOM
1c6d9e57-89fc-4121-af9e-03dafd483b60,6898,SAD-506,الادارة العامة نسائم صلالة : بنايات السعادة : السعادة-25,THREE_BEDROOM
1c6d9e57-89fc-4121-af9e-03dafd483b60,6897,SAD-505,الادارة العامة نسائم صلالة : بنايات السعادة : السعادة-25,TWO_BEDROOM
1c6d9e57-89fc-4121-af9e-03dafd483b60,6896,SAD-504,الادارة العامة نسائم صلالة : بنايات السعادة : السعادة-25,TWO_BEDROOM
1c6d9e57-89fc-4121-af9e-03dafd483b60,6895,SAD-503,الادارة العامة نسائم صلالة : بنايات السعادة : السعادة-25,STUDIO
1c6d9e57-89fc-4121-af9e-03dafd483b60,6947,SAD-502,الادارة العامة نسائم صلالة : بنايات السعادة : السعادة-25,TWO_BEDROOM
1c6d9e57-89fc-4121-af9e-03dafd483b60,6894,SAD-501,الادارة العامة نسائم صلالة : بنايات السعادة : السعادة-25,TWO_BEDROOM
1c6d9e57-89fc-4121-af9e-03dafd483b60,6922,SAD-406,الادارة العامة نسائم صلالة : بنايات السعادة : السعادة-25,THREE_BEDROOM
1c6d9e57-89fc-4121-af9e-03dafd483b60,6893,SAD-405,الادارة العامة نسائم صلالة : بنايات السعادة : السعادة-25,TWO_BEDROOM
1c6d9e57-89fc-4121-af9e-03dafd483b60,6892,SAD-404,الادارة العامة نسائم صلالة : بنايات السعادة : السعادة-25,STUDIO
1c6d9e57-89fc-4121-af9e-03dafd483b60,6891,SAD-403,الادارة العامة نسائم صلالة : بنايات السعادة : السعادة-25,TWO_BEDROOM
1c6d9e57-89fc-4121-af9e-03dafd483b60,6881,SAD-402,الادارة العامة نسائم صلالة : بنايات السعادة : السعادة-25,TWO_BEDROOM
1c6d9e57-89fc-4121-af9e-03dafd483b60,6907,SAD-401,الادارة العامة نسائم صلالة : بنايات السعادة : السعادة-25,TWO_BEDROOM
1c6d9e57-89fc-4121-af9e-03dafd483b60,6919,SAD-306,الادارة العامة نسائم صلالة : بنايات السعادة : السعادة-25,THREE_BEDROOM
1c6d9e57-89fc-4121-af9e-03dafd483b60,6918,SAD-305,الادارة العامة نسائم صلالة : بنايات السعادة : السعادة-25,TWO_BEDROOM
1c6d9e57-89fc-4121-af9e-03dafd483b60,6933,SAD-304,الادارة العامة نسائم صلالة : بنايات السعادة : السعادة-25,STUDIO
1c6d9e57-89fc-4121-af9e-03dafd483b60,6932,SAD-303,الادارة العامة نسائم صلالة : بنايات السعادة : السعادة-25,TWO_BEDROOM
1c6d9e57-89fc-4121-af9e-03dafd483b60,6931,SAD-302,الادارة العامة نسائم صلالة : بنايات السعادة : السعادة-25,TWO_BEDROOM
1c6d9e57-89fc-4121-af9e-03dafd483b60,6906,SAD-301,الادارة العامة نسائم صلالة : بنايات السعادة : السعادة-25,TWO_BEDROOM
1c6d9e57-89fc-4121-af9e-03dafd483b60,6912,SAD-206,الادارة العامة نسائم صلالة : بنايات السعادة : السعادة-25,TWO_BEDROOM
1c6d9e57-89fc-4121-af9e-03dafd483b60,6905,SAD-205,الادارة العامة نسائم صلالة : بنايات السعادة : السعادة-25,TWO_BEDROOM
1c6d9e57-89fc-4121-af9e-03dafd483b60,6946,SAD-204,الادارة العامة نسائم صلالة : بنايات السعادة : السعادة-25,STUDIO
1c6d9e57-89fc-4121-af9e-03dafd483b60,6942,SAD-203,الادارة العامة نسائم صلالة : بنايات السعادة : السعادة-25,TWO_BEDROOM
1c6d9e57-89fc-4121-af9e-03dafd483b60,6875,SAD-202,الادارة العامة نسائم صلالة : بنايات السعادة : السعادة-25,TWO_BEDROOM
1c6d9e57-89fc-4121-af9e-03dafd483b60,6902,SAD-201,الادارة العامة نسائم صلالة : بنايات السعادة : السعادة-25,TWO_BEDROOM
1c6d9e57-89fc-4121-af9e-03dafd483b60,6901,SAD-106,الادارة العامة نسائم صلالة : بنايات السعادة : السعادة-25,TWO_BEDROOM
1c6d9e57-89fc-4121-af9e-03dafd483b60,6945,SAD-105,الادارة العامة نسائم صلالة : بنايات السعادة : السعادة-25,TWO_BEDROOM
1c6d9e57-89fc-4121-af9e-03dafd483b60,6938,SAD-104,الادارة العامة نسائم صلالة : بنايات السعادة : السعادة-25,STUDIO
1c6d9e57-89fc-4121-af9e-03dafd483b60,6890,SAD-103,الادارة العامة نسائم صلالة : بنايات السعادة : السعادة-25,ONE_BEDROOM
1c6d9e57-89fc-4121-af9e-03dafd483b60,6900,SAD-102,الادارة العامة نسائم صلالة : بنايات السعادة : السعادة-25,TWO_BEDROOM
1c6d9e57-89fc-4121-af9e-03dafd483b60,6886,SAD-101,الادارة العامة نسائم صلالة : بنايات السعادة : السعادة-25,TWO_BEDROOM
9e1babbf-7d50-449d-a9db-626969164ea2,6820,SA-406,الادارة العامة نسائم صلالة : بنايات صلالة الوسطى و القوف : 15-صلالة الوسطى,TWO_BEDROOM
9e1babbf-7d50-449d-a9db-626969164ea2,6819,SA-405,الادارة العامة نسائم صلالة : بنايات صلالة الوسطى و القوف : 15-صلالة الوسطى,TWO_BEDROOM
9e1babbf-7d50-449d-a9db-626969164ea2,6788,SA-404,الادارة العامة نسائم صلالة : بنايات صلالة الوسطى و القوف : 15-صلالة الوسطى,STUDIO
9e1babbf-7d50-449d-a9db-626969164ea2,6787,SA-403,الادارة العامة نسائم صلالة : بنايات صلالة الوسطى و القوف : 15-صلالة الوسطى,TWO_BEDROOM
9e1babbf-7d50-449d-a9db-626969164ea2,6818,SA-402,الادارة العامة نسائم صلالة : بنايات صلالة الوسطى و القوف : 15-صلالة الوسطى,TWO_BEDROOM
9e1babbf-7d50-449d-a9db-626969164ea2,6786,SA-401,الادارة العامة نسائم صلالة : بنايات صلالة الوسطى و القوف : 15-صلالة الوسطى,STUDIO
9e1babbf-7d50-449d-a9db-626969164ea2,6785,SA-306,الادارة العامة نسائم صلالة : بنايات صلالة الوسطى و القوف : 15-صلالة الوسطى,TWO_BEDROOM
9e1babbf-7d50-449d-a9db-626969164ea2,6784,SA-305,الادارة العامة نسائم صلالة : بنايات صلالة الوسطى و القوف : 15-صلالة الوسطى,TWO_BEDROOM
9e1babbf-7d50-449d-a9db-626969164ea2,6783,SA-304,الادارة العامة نسائم صلالة : بنايات صلالة الوسطى و القوف : 15-صلالة الوسطى,STUDIO
9e1babbf-7d50-449d-a9db-626969164ea2,6817,SA-303,الادارة العامة نسائم صلالة : بنايات صلالة الوسطى و القوف : 15-صلالة الوسطى,TWO_BEDROOM
9e1babbf-7d50-449d-a9db-626969164ea2,6816,SA-302,الادارة العامة نسائم صلالة : بنايات صلالة الوسطى و القوف : 15-صلالة الوسطى,TWO_BEDROOM
9e1babbf-7d50-449d-a9db-626969164ea2,6782,SA-301,الادارة العامة نسائم صلالة : بنايات صلالة الوسطى و القوف : 15-صلالة الوسطى,STUDIO
9e1babbf-7d50-449d-a9db-626969164ea2,6815,SA-206,الادارة العامة نسائم صلالة : بنايات صلالة الوسطى و القوف : 15-صلالة الوسطى,TWO_BEDROOM
9e1babbf-7d50-449d-a9db-626969164ea2,6814,SA-205,الادارة العامة نسائم صلالة : بنايات صلالة الوسطى و القوف : 15-صلالة الوسطى,TWO_BEDROOM
9e1babbf-7d50-449d-a9db-626969164ea2,6781,SA-204,الادارة العامة نسائم صلالة : بنايات صلالة الوسطى و القوف : 15-صلالة الوسطى,STUDIO
9e1babbf-7d50-449d-a9db-626969164ea2,6813,SA-203,الادارة العامة نسائم صلالة : بنايات صلالة الوسطى و القوف : 15-صلالة الوسطى,TWO_BEDROOM
9e1babbf-7d50-449d-a9db-626969164ea2,6812,SA-202,الادارة العامة نسائم صلالة : بنايات صلالة الوسطى و القوف : 15-صلالة الوسطى,TWO_BEDROOM
9e1babbf-7d50-449d-a9db-626969164ea2,6811,SA-201,الادارة العامة نسائم صلالة : بنايات صلالة الوسطى و القوف : 15-صلالة الوسطى,STUDIO
9e1babbf-7d50-449d-a9db-626969164ea2,6789,SA-2,الادارة العامة نسائم صلالة : بنايات صلالة الوسطى و القوف : 15-صلالة الوسطى,STUDIO
9e1babbf-7d50-449d-a9db-626969164ea2,6780,SA-106,الادارة العامة نسائم صلالة : بنايات صلالة الوسطى و القوف : 15-صلالة الوسطى,TWO_BEDROOM
9e1babbf-7d50-449d-a9db-626969164ea2,6810,SA-105,الادارة العامة نسائم صلالة : بنايات صلالة الوسطى و القوف : 15-صلالة الوسطى,STUDIO
9e1babbf-7d50-449d-a9db-626969164ea2,6779,SA-104,الادارة العامة نسائم صلالة : بنايات صلالة الوسطى و القوف : 15-صلالة الوسطى,STUDIO
9e1babbf-7d50-449d-a9db-626969164ea2,6778,SA-103,الادارة العامة نسائم صلالة : بنايات صلالة الوسطى و القوف : 15-صلالة الوسطى,STUDIO
9e1babbf-7d50-449d-a9db-626969164ea2,6809,SA-102,الادارة العامة نسائم صلالة : بنايات صلالة الوسطى و القوف : 15-صلالة الوسطى,STUDIO
9e1babbf-7d50-449d-a9db-626969164ea2,6777,SA-101,الادارة العامة نسائم صلالة : بنايات صلالة الوسطى و القوف : 15-صلالة الوسطى,STUDIO
7aa22d16-1829-48a0-84ab-1ad7911514ea,6833,OKB-103,الادارة العامة نسائم صلالة : بنايات عوقد : عوقد-مربع-ب-30,THREE_BEDROOM
7aa22d16-1829-48a0-84ab-1ad7911514ea,6874,OKB-102,الادارة العامة نسائم صلالة : بنايات عوقد : عوقد-مربع-ب-30,THREE_BEDROOM
7aa22d16-1829-48a0-84ab-1ad7911514ea,6832,OKB-101,الادارة العامة نسائم صلالة : بنايات عوقد : عوقد-مربع-ب-30,VILLA
5241128f-d04e-456a-8ba0-1ad6df7f51e1,6794,OK-M05,الادارة العامة نسائم صلالة : بنايات عوقد : عوقد-5,TWO_BEDROOM
